Test data #1: Predicted Class: p, Confidence: 100%, Correct.
Test data #947: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #948: Predicted Class: p, Confidence: 100%, Correct.
Test data #949: Predicted Class: p, Confidence: 100%, Correct.
Test data #950: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #951: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #952: Predicted Class: p, Confidence: 100%, Correct.
Test data #953: Predicted Class: p, Confidence: 100%, Correct.
Test data #954: Predicted Class: p, Confidence: 100%, Correct.
Test data #955: Predicted Class: p, Confidence: 100%, Correct.
Test data #956: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #957: Predicted Class: p, Confidence: 100%, Correct.
Test data #958: Predicted Class: p, Confidence: 100%, Correct.
Test data #959: Predicted Class: p, Confidence: 100%, Correct.
Test data #960: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #961: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #962: Predicted Class: p, Confidence: 100%, Correct.
Test data #963: Predicted Class: p, Confidence: 100%, Correct.
Test data #964: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #965: Predicted Class: p, Confidence: 100%, Correct.
Test data #966: Predicted Class: p, Confidence: 100%, Correct.
Test data #967: Predicted Class: p, Confidence: 100%, Correct.
Test data #968: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #969: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #970: Predicted Class: e, Confidence: 68.86%, Wrong.
Test data #971: Predicted Class: p, Confidence: 100%, Correct.
Test data #972: Predicted Class: p, Confidence: 100%, Correct.
Test data #973: Predicted Class: p, Confidence: 100%, Correct.
Test data #974: Predicted Class: p, Confidence: 100%, Correct.
Test data #975: Predicted Class: p, Confidence: 100%, Correct.
Test data #976: Predicted Class: p, Confidence: 100%, Correct.
Test data #977: Predicted Class: p, Confidence: 100%, Correct.
Test data #978: Predicted Class: p, Confidence: 100%, Correct.
Test data #979: Predicted Class: p, Confidence: 100%, Correct.
Test data #980: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #981: Predicted Class: e, Confidence: 68.86%, Wrong.
Test data #982: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #983: Predicted Class: p, Confidence: 100%, Correct.
Test data #984: Predicted Class: e, Confidence: 99.51%, Wrong.
Test data #985: Predicted Class: p, Confidence: 100%, Correct.
Test data #986: Predicted Class: e, Confidence: 68.86%, Wrong.
Test data #987: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #988: Predicted Class: p, Confidence: 100%, Correct.
Test data #989: Predicted Class: p, Confidence: 100%, Correct.
Test data #990: Predicted Class: p, Confidence: 100%, Correct.
Test data #991: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #992: Predicted Class: p, Confidence: 100%, Correct.
Test data #993: Predicted Class: p, Confidence: 100%, Correct.
Test data #994: Predicted Class: p, Confidence: 100%, Correct.
Test data #995: Predicted Class: p, Confidence: 100%, Correct.
Test data #996: Predicted Class: p, Confidence: 100%, Correct.
Test data #997: Predicted Class: p, Confidence: 100%, Correct.
Test data #998: Predicted Class: p, Confidence: 100%, Correct.
Test data #999: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1000: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1001: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1002: Predicted Class: p, Confidence: 100%, Correct.
Test data #1003: Predicted Class: p, Confidence: 100%, Correct.
Test data #1004: Predicted Class: p, Confidence: 100%, Correct.
Test data #1005: Predicted Class: p, Confidence: 100%, Correct.
Test data #1006: Predicted Class: p, Confidence: 100%, Correct.
Test data #1007: Predicted Class: p, Confidence: 100%, Correct.
Test data #1008: Predicted Class: p, Confidence: 100%, Correct.
Test data #1009: Predicted Class: p, Confidence: 100%, Correct.
Test data #1010: Predicted Class: p, Confidence: 100%, Correct.
Test data #1011: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1012: Predicted Class: p, Confidence: 100%, Correct.
Test data #1013: Predicted Class: p, Confidence: 100%, Correct.
Test data #1014: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1015: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1016: Predicted Class: p, Confidence: 100%, Correct.
Test data #1017: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1018: Predicted Class: p, Confidence: 100%, Correct.
Test data #1019: Predicted Class: p, Confidence: 100%, Correct.
Test data #1020: Predicted Class: p, Confidence: 100%, Correct.
Test data #1021: Predicted Class: p, Confidence: 100%, Correct.
Test data #1022: Predicted Class: p, Confidence: 100%, Correct.
Test data #1023: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1024: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1025: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1026: Predicted Class: p, Confidence: 100%, Correct.
Test data #1027: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1028: Predicted Class: p, Confidence: 100%, Correct.
Test data #1029: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1030: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1031: Predicted Class: p, Confidence: 100%, Correct.
Test data #1032: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1033: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1034: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1035: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1036: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1037: Predicted Class: e, Confidence: 68.86%, Wrong.
Test data #1038: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1039: Predicted Class: p, Confidence: 100%, Correct.
Test data #1040: Predicted Class: p, Confidence: 100%, Correct.
Test data #1041: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1042: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1043: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1044: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1045: Predicted Class: p, Confidence: 100%, Correct.
Test data #1046: Predicted Class: p, Confidence: 100%, Correct.
Test data #1047: Predicted Class: p, Confidence: 100%, Correct.
Test data #1048: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1049: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1050: Predicted Class: p, Confidence: 100%, Correct.
Test data #1051: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1052: Predicted Class: p, Confidence: 100%, Correct.
Test data #1053: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1054: Predicted Class: p, Confidence: 100%, Correct.
Test data #1055: Predicted Class: p, Confidence: 100%, Correct.
Test data #1056: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1057: Predicted Class: p, Confidence: 100%, Correct.
Test data #1058: Predicted Class: p, Confidence: 100%, Correct.
Test data #1059: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1060: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1061: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1062: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1063: Predicted Class: p, Confidence: 100%, Correct.
Test data #1064: Predicted Class: p, Confidence: 100%, Correct.
Test data #1065: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1066: Predicted Class: p, Confidence: 100%, Correct.
Test data #1067: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1068: Predicted Class: p, Confidence: 100%, Correct.
Test data #1069: Predicted Class: p, Confidence: 100%, Correct.
Test data #1070: Predicted Class: p, Confidence: 100%, Correct.
Test data #1071: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1072: Predicted Class: p, Confidence: 100%, Correct.
Test data #1073: Predicted Class: p, Confidence: 100%, Correct.
Test data #1074: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1075: Predicted Class: p, Confidence: 100%, Correct.
Test data #1076: Predicted Class: p, Confidence: 100%, Correct.
Test data #1077: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1078: Predicted Class: p, Confidence: 100%, Correct.
Test data #1079: Predicted Class: p, Confidence: 100%, Correct.
Test data #1080: Predicted Class: p, Confidence: 100%, Correct.
Test data #1081: Predicted Class: p, Confidence: 100%, Correct.
Test data #1082: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1083: Predicted Class: p, Confidence: 100%, Correct.
Test data #1084: Predicted Class: p, Confidence: 100%, Correct.
Test data #1085: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1086: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1087: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1088: Predicted Class: p, Confidence: 100%, Correct.
Test data #1089: Predicted Class: p, Confidence: 100%, Correct.
Test data #1090: Predicted Class: p, Confidence: 100%, Correct.
Test data #1091: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1092: Predicted Class: p, Confidence: 100%, Correct.
Test data #1093: Predicted Class: p, Confidence: 100%, Correct.
Test data #1094: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1095: Predicted Class: p, Confidence: 100%, Correct.
Test data #1096: Predicted Class: p, Confidence: 100%, Correct.
Test data #1097: Predicted Class: p, Confidence: 100%, Correct.
Test data #1098: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1099: Predicted Class: p, Confidence: 100%, Correct.
Test data #1100: Predicted Class: p, Confidence: 100%, Correct.
Test data #1101: Predicted Class: e, Confidence: 99.51%, Wrong.
Test data #1102: Predicted Class: p, Confidence: 100%, Correct.
Test data #1103: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1104: Predicted Class: p, Confidence: 100%, Correct.
Test data #1105: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1106: Predicted Class: p, Confidence: 100%, Correct.
Test data #1107: Predicted Class: p, Confidence: 100%, Correct.
Test data #1108: Predicted Class: p, Confidence: 100%, Correct.
Test data #1109: Predicted Class: p, Confidence: 100%, Correct.
Test data #1110: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1111: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1112: Predicted Class: p, Confidence: 100%, Correct.
Test data #1113: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1114: Predicted Class: p, Confidence: 100%, Correct.
Test data #1115: Predicted Class: p, Confidence: 100%, Correct.
Test data #1116: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1117: Predicted Class: p, Confidence: 100%, Correct.
Test data #1118: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1119: Predicted Class: p, Confidence: 100%, Correct.
Test data #1120: Predicted Class: p, Confidence: 100%, Correct.
Test data #1121: Predicted Class: p, Confidence: 100%, Correct.
Test data #1122: Predicted Class: p, Confidence: 100%, Correct.
Test data #1123: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1124: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1125: Predicted Class: p, Confidence: 100%, Correct.
Test data #1126: Predicted Class: p, Confidence: 100%, Correct.
Test data #1127: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1128: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1129: Predicted Class: p, Confidence: 100%, Correct.
Test data #1130: Predicted Class: p, Confidence: 100%, Correct.
Test data #1131: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1132: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1133: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1134: Predicted Class: p, Confidence: 100%, Correct.
Test data #1135: Predicted Class: p, Confidence: 100%, Correct.
Test data #1136: Predicted Class: e, Confidence: 68.86%, Wrong.
Test data #1137: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1138: Predicted Class: p, Confidence: 100%, Correct.
Test data #1139: Predicted Class: p, Confidence: 100%, Correct.
Test data #1140: Predicted Class: p, Confidence: 100%, Correct.
Test data #1141: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1142: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1143: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1144: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1145: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1146: Predicted Class: p, Confidence: 100%, Correct.
Test data #1147: Predicted Class: p, Confidence: 100%, Correct.
Test data #1148: Predicted Class: p, Confidence: 100%, Correct.
Test data #1149: Predicted Class: p, Confidence: 100%, Correct.
Test data #1150: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1151: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1152: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1153: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1154: Predicted Class: p, Confidence: 100%, Correct.
Test data #1155: Predicted Class: p, Confidence: 100%, Correct.
Test data #1156: Predicted Class: p, Confidence: 100%, Correct.
Test data #1157: Predicted Class: p, Confidence: 100%, Correct.
Test data #1158: Predicted Class: p, Confidence: 100%, Correct.
Test data #1159: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1160: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1161: Predicted Class: p, Confidence: 100%, Correct.
Test data #1162: Predicted Class: p, Confidence: 100%, Correct.
Test data #1163: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1164: Predicted Class: p, Confidence: 100%, Correct.
Test data #1165: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1166: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1167: Predicted Class: p, Confidence: 100%, Correct.
Test data #1168: Predicted Class: p, Confidence: 100%, Correct.
Test data #1169: Predicted Class: p, Confidence: 100%, Correct.
Test data #1170: Predicted Class: p, Confidence: 100%, Correct.
Test data #1171: Predicted Class: p, Confidence: 100%, Correct.
Test data #1172: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1173: Predicted Class: p, Confidence: 100%, Correct.
Test data #1174: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1175: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1176: Predicted Class: p, Confidence: 100%, Correct.
Test data #1177: Predicted Class: p, Confidence: 100%, Correct.
Test data #1178: Predicted Class: p, Confidence: 100%, Correct.
Test data #1179: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1180: Predicted Class: p, Confidence: 100%, Correct.
Test data #1181: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1182: Predicted Class: p, Confidence: 100%, Correct.
Test data #1183: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1184: Predicted Class: p, Confidence: 100%, Correct.
Test data #1185: Predicted Class: p, Confidence: 100%, Correct.
Test data #1186: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1187: Predicted Class: p, Confidence: 100%, Correct.
Test data #1188: Predicted Class: p, Confidence: 100%, Correct.
Test data #1189: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1190: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1191: Predicted Class: p, Confidence: 100%, Correct.
Test data #1192: Predicted Class: p, Confidence: 100%, Correct.
Test data #1193: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1194: Predicted Class: p, Confidence: 100%, Correct.
Test data #1195: Predicted Class: p, Confidence: 100%, Correct.
Test data #1196: Predicted Class: p, Confidence: 100%, Correct.
Test data #1197: Predicted Class: p, Confidence: 100%, Correct.
Test data #1198: Predicted Class: p, Confidence: 100%, Correct.
Test data #1199: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1200: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1201: Predicted Class: p, Confidence: 100%, Correct.
Test data #1202: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1203: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1204: Predicted Class: p, Confidence: 100%, Correct.
Test data #1205: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1206: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1207: Predicted Class: e, Confidence: 99.51%, Wrong.
Test data #1208: Predicted Class: p, Confidence: 100%, Correct.
Test data #1209: Predicted Class: p, Confidence: 100%, Correct.
Test data #1210: Predicted Class: e, Confidence: 68.86%, Wrong.
Test data #1211: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1212: Predicted Class: p, Confidence: 100%, Correct.
Test data #1213: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1214: Predicted Class: p, Confidence: 100%, Correct.
Test data #1215: Predicted Class: e, Confidence: 68.86%, Wrong.
Test data #1216: Predicted Class: p, Confidence: 100%, Correct.
Test data #1217: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1218: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1219: Predicted Class: p, Confidence: 100%, Correct.
Test data #1220: Predicted Class: p, Confidence: 100%, Correct.
Test data #1221: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1222: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1223: Predicted Class: p, Confidence: 100%, Correct.
Test data #1224: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1225: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1226: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1227: Predicted Class: p, Confidence: 100%, Correct.
Test data #1228: Predicted Class: e, Confidence: 68.86%, Wrong.
Test data #1229: Predicted Class: p, Confidence: 100%, Correct.
Test data #1230: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1231: Predicted Class: p, Confidence: 100%, Correct.
Test data #1232: Predicted Class: p, Confidence: 100%, Correct.
Test data #1233: Predicted Class: p, Confidence: 100%, Correct.
Test data #1234: Predicted Class: p, Confidence: 100%, Correct.
Test data #1235: Predicted Class: p, Confidence: 100%, Correct.
Test data #1236: Predicted Class: p, Confidence: 100%, Correct.
Test data #1237: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1238: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1239: Predicted Class: p, Confidence: 100%, Correct.
Test data #1240: Predicted Class: e, Confidence: 99.51%, Wrong.
Test data #1241: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1242: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1243: Predicted Class: p, Confidence: 100%, Correct.
Test data #1244: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1245: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1246: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1247: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1248: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1249: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1250: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1251: Predicted Class: p, Confidence: 100%, Correct.
Test data #1252: Predicted Class: p, Confidence: 100%, Correct.
Test data #1253: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1254: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1255: Predicted Class: p, Confidence: 100%, Correct.
Test data #1256: Predicted Class: p, Confidence: 100%, Correct.
Test data #1257: Predicted Class: p, Confidence: 100%, Correct.
Test data #1258: Predicted Class: p, Confidence: 100%, Correct.
Test data #1259: Predicted Class: p, Confidence: 100%, Correct.
Test data #1260: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1261: Predicted Class: p, Confidence: 100%, Correct.
Test data #1262: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1263: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1264: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1265: Predicted Class: p, Confidence: 100%, Correct.
Test data #1266: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1267: Predicted Class: p, Confidence: 100%, Correct.
Test data #1268: Predicted Class: p, Confidence: 100%, Correct.
Test data #1269: Predicted Class: p, Confidence: 100%, Correct.
Test data #1270: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1271: Predicted Class: p, Confidence: 100%, Correct.
Test data #1272: Predicted Class: p, Confidence: 100%, Correct.
Test data #1273: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1274: Predicted Class: p, Confidence: 100%, Correct.
Test data #1275: Predicted Class: p, Confidence: 100%, Correct.
Test data #1276: Predicted Class: p, Confidence: 100%, Correct.
Test data #1277: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1278: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1279: Predicted Class: p, Confidence: 100%, Correct.
Test data #1280: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1281: Predicted Class: p, Confidence: 100%, Correct.
Test data #1282: Predicted Class: p, Confidence: 100%, Correct.
Test data #1283: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1284: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1285: Predicted Class: p, Confidence: 100%, Correct.
Test data #1286: Predicted Class: p, Confidence: 100%, Correct.
Test data #1287: Predicted Class: p, Confidence: 100%, Correct.
Test data #1288: Predicted Class: p, Confidence: 100%, Correct.
Test data #1289: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1290: Predicted Class: p, Confidence: 100%, Correct.
Test data #1291: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1292: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1293: Predicted Class: p, Confidence: 100%, Correct.
Test data #1294: Predicted Class: p, Confidence: 100%, Correct.
Test data #1295: Predicted Class: p, Confidence: 100%, Correct.
Test data #1296: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1297: Predicted Class: p, Confidence: 100%, Correct.
Test data #1298: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1299: Predicted Class: p, Confidence: 100%, Correct.
Test data #1300: Predicted Class: p, Confidence: 100%, Correct.
Test data #1301: Predicted Class: p, Confidence: 100%, Correct.
Test data #1302: Predicted Class: e, Confidence: 68.86%, Wrong.
Test data #1303: Predicted Class: p, Confidence: 100%, Correct.
Test data #1304: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1305: Predicted Class: p, Confidence: 100%, Correct.
Test data #1306: Predicted Class: e, Confidence: 68.86%, Wrong.
Test data #1307: Predicted Class: p, Confidence: 100%, Correct.
Test data #1308: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1309: Predicted Class: p, Confidence: 100%, Correct.
Test data #1310: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1311: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1312: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1313: Predicted Class: p, Confidence: 100%, Correct.
Test data #1314: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1315: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1316: Predicted Class: p, Confidence: 100%, Correct.
Test data #1317: Predicted Class: p, Confidence: 100%, Correct.
Test data #1318: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1319: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1320: Predicted Class: p, Confidence: 100%, Correct.
Test data #1321: Predicted Class: e, Confidence: 68.86%, Wrong.
Test data #1322: Predicted Class: p, Confidence: 100%, Correct.
Test data #1323: Predicted Class: p, Confidence: 100%, Correct.
Test data #1324: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1325: Predicted Class: p, Confidence: 100%, Correct.
Test data #1326: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1327: Predicted Class: p, Confidence: 100%, Correct.
Test data #1328: Predicted Class: p, Confidence: 100%, Correct.
Test data #1329: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1330: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1331: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1332: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1333: Predicted Class: p, Confidence: 100%, Correct.
Test data #1334: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1335: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1336: Predicted Class: p, Confidence: 100%, Correct.
Test data #1337: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1338: Predicted Class: p, Confidence: 100%, Correct.
Test data #1339: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1340: Predicted Class: p, Confidence: 100%, Correct.
Test data #1341: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1342: Predicted Class: p, Confidence: 100%, Correct.
Test data #1343: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1344: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1345: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1346: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1347: Predicted Class: p, Confidence: 100%, Correct.
Test data #1348: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1349: Predicted Class: p, Confidence: 100%, Correct.
Test data #1350: Predicted Class: p, Confidence: 100%, Correct.
Test data #1351: Predicted Class: p, Confidence: 100%, Correct.
Test data #1352: Predicted Class: p, Confidence: 100%, Correct.
Test data #1353: Predicted Class: p, Confidence: 100%, Correct.
Test data #1354: Predicted Class: p, Confidence: 100%, Correct.
Test data #1355: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1356: Predicted Class: p, Confidence: 100%, Correct.
Test data #1357: Predicted Class: p, Confidence: 100%, Correct.
Test data #1358: Predicted Class: p, Confidence: 100%, Correct.
Test data #1359: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1360: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1361: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1362: Predicted Class: p, Confidence: 100%, Correct.
Test data #1363: Predicted Class: p, Confidence: 100%, Correct.
Test data #1364: Predicted Class: p, Confidence: 100%, Correct.
Test data #1365: Predicted Class: p, Confidence: 100%, Correct.
Test data #1366: Predicted Class: p, Confidence: 100%, Correct.
Test data #1367: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1368: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1369: Predicted Class: p, Confidence: 100%, Correct.
Test data #1370: Predicted Class: p, Confidence: 100%, Correct.
Test data #1371: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1372: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1373: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1374: Predicted Class: p, Confidence: 100%, Correct.
Test data #1375: Predicted Class: p, Confidence: 100%, Correct.
Test data #1376: Predicted Class: p, Confidence: 100%, Correct.
Test data #1377: Predicted Class: p, Confidence: 100%, Correct.
Test data #1378: Predicted Class: p, Confidence: 100%, Correct.
Test data #1379: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1380: Predicted Class: p, Confidence: 100%, Correct.
Test data #1381: Predicted Class: p, Confidence: 100%, Correct.
Test data #1382: Predicted Class: p, Confidence: 100%, Correct.
Test data #1383: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1384: Predicted Class: p, Confidence: 100%, Correct.
Test data #1385: Predicted Class: p, Confidence: 100%, Correct.
Test data #1386: Predicted Class: p, Confidence: 100%, Correct.
Test data #1387: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1388: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1389: Predicted Class: p, Confidence: 100%, Correct.
Test data #1390: Predicted Class: p, Confidence: 100%, Correct.
Test data #1391: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1392: Predicted Class: p, Confidence: 100%, Correct.
Test data #1393: Predicted Class: p, Confidence: 100%, Correct.
Test data #1394: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1395: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1396: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #1397: Predicted Class: p, Confidence: 100%, Correct.
Test data #1398: Predicted Class: p, Confidence: 100%, Correct.
Test data #1399: Predicted Class: e, Confidence: 99.51%, Correct.
